,pWriter,pPainter,pMover,pHeritage,pShopper,
Location,"It's above the, that writing I was telling you about. It's very interesting, because I don't Yeah, I don't know that you kind of it is in a location where some someone will stop and read. And it's about basically RIMPAC, which brings ships. And it starts off that message under it starts off with ships too.","That's kind of cu-. I am kind of curious. I'm not sure. I'm actually I'm okay with it. Because I think the messaging is powerful. It's good. I'm glad and I'm totally for that message. I'm okay with them having posted it there. It's like, okay, that's a good tag because I can believe in the message that's and that's great. And, and you have a poster that does depict female figures that are in empowered empowerment, and are also of ethnic origins that are could be Pacific oriented.","Well again, you know, you find a spot you put it in there.","so that or um that poster is right above the like artwork's writing and right at the start of the artwork so I think if you're because like the artwork is already capturing your attention, you might go and look at this poster as well.","I think because, you know, the, the message is written in white. I think they will think like, oh, this message can draw people's attention. So after they read this, they will notice our poster. So they put this poster above the white messages, right?",Location
Creation,"Poster creation? Hard to tell it's kind of I don't know, maybe half a day or depends actually, I'd say, yeah, there is a creative process to it. But, you know, these types of things you can't take a lot of time with it. It's not it's more to get a message out not to like. It's not really I mean, to me, it's art but it's a different type of art, not like art that takes months to make. But just an urgent message is what it is. I don't think it took too long, maybe a total four or five hours, I'm guessing no, I don't know. Everyone's skill that is different. Could have been super fast. It could have been minutes or like within an hour ","oh, boy, this looks like it's a community campaign. The poster itself could have easily taken five to six hours to create looks like it's computer generated. And it's, it's pretty well done. It's a good composition and And it probably took less than two to three minutes to install it because it looks like it's a paper paste mural uh like a bro- like a brochure that's basically pasted onto the wall","Oh gosh, depending on the artist, I would think at least a couple of days to create something",I think it would have taken them maybe a few days. The art in the poster looks really intricate.,"I think it might take several hours to, you know, create this design this poster, but it will only take a few minutes to put it on the wall.",Creation
Motivation,,"sure, to protest against some of the negative impacts to communities and environment in areas that are under military occupation","they believe that RIMPAC uh is not good. You know, so they just against it they just protesting RIMPAC",It looks like they're motivated to like let people know maybe the stuff in the military that they think shouldn't be done. And most likely they want change.,As I said like to invoke the public consciousness to its kind of activist motivation.,Motivation
Successfulness,"Success, I ... well it's still there. So it's more successful than I thought someone tried to take it off. It's not off  uh successful in terms of preventing it? Not very but community awareness. I think it helps. ","Yes, I think so. Yeah. I mean, it's, it's a, it's a really well done poster. And it's also in part of the it's actually also installed part of the mural where it's sort of being the focus of what the dragon is sort of looking at. So it's kind of it's a cleverly It's a clever quote unquote, tag, you know, but it's one that I again, I would be totally okay with, because I can, I can agree with the message. ","Oh, I don't think so. [couldn't answer why]",I think it's pretty successful. They clearly like point out military. And they have this statement on the bottom that says no more stolen girls and oil spills. So I feel like that's pretty direct and straightforward about what they're trying to say.,"I think so. I didn't notice this before. But after you show to me today, I got the messages immediately. And I'd like to know more about the history.",Successfulness
,,,what is it about the dragon mural that is illegal?,,,
,,,"Well, you know, like I said, you know, the fire two fire, you know, because they were prejudiced against the Chinese places were burned down twice. And yet, you know, the Chinatown was being rebuilt again. So that's why I say the dragon rising from ashes.",,,
,,,"The dragon is a Chinese uh you know, symbol. Success.",,,
,,,"Well, that's, that's a rule called culture and art in Hawaii, anything you paint and put on the wall, it has to be approved by them. And the funny thing is down at Nu'uanu, they used to have a very beautiful mural someone painted some really nice Chinese mural. Been there for about a year or so. And finally, they said you have to bring it down. You have to repaint it. You can't have a mural there. because it was never okayed by them.  Yeah,",,,
,,,"When I usually pass by I say wow, that's really nice drawing painting. And they say you can't do it so I actually stopped this project I don't want to get too much hassle from from the city.",,,
,,,What languages do you think should feature in a beautiful Chinatown?,,,
,,,"Well, you know, it has to be related to Chinese and Chinatown",,,
,,,English and Chinese. ,,,
,,,Because most of the people in Chinatown are a lot of Chinese there but a lot of local too.  A lot of immigrants,,,
,,,[of like Vietnamese groups and things you think their language],,,
,,,"Yeah, and they use Chinese.",,,
,,,,,,
,,,,,,
,,,,,,
,,, ,,,
